id,car_id,user_id,rental_date,status,return_date
1,20,5,2026-08-15,returned,2026-08-20
2,13,28,2026-08-15,returned,2026-08-21
3,7,42,2026-08-14,ongoing,
4,10,3,2026-08-11,ongoing,
5,1,40,2026-08-16,returned,2026-08-17
6,22,37,2026-08-19,ongoing,
7,23,29,2026-08-21,ongoing,
8,112,62,2026-03-17,ongoing,
9,54,108,2025-10-11,ongoing,
10,97,144,2025-11-08,returned,2026-04-07
11,19,127,2026-03-21,ongoing,
12,45,209,2026-08-11,ongoing,
13,4,101,2025-10-02,returned,2025-12-18
14,66,69,2026-05-01,ongoing,
15,9,188,2026-05-27,ongoing,
16,30,189,2026-03-11,returned,2026-08-23
17,85,97,2025-11-12,returned,2026-03-12
18,6,25,2026-07-08,ongoing,
19,77,31,2025-11-16,ongoing,
20,105,234,2025-12-26,returned,2026-03-04
21,36,174,2026-03-05,ongoing,
22,95,5,2025-08-27,returned,2026-03-02
23,114,195,2026-01-22,ongoing,
24,112,126,2025-08-25,returned,2026-02-07
25,108,82,2025-12-29,returned,2026-03-12
26,6,180,2026-03-21,ongoing,
27,86,65,2025-10-31,returned,2025-11-11
28,122,196,2025-10-24,returned,2026-07-22
29,75,126,2026-07-04,ongoing,
30,68,25,2026-08-22,ongoing,
31,39,61,2026-07-21,ongoing,
32,66,97,2026-07-06,returned,2026-08-15
33,33,231,2026-04-08,returned,2026-06-07
34,88,141,2025-12-12,ongoing,
35,17,100,2026-03-13,returned,2026-06-26
36,104,217,2026-07-22,ongoing,
37,8,83,2025-12-11,ongoing,
38,23,181,2025-10-14,ongoing,
39,120,134,2026-01-27,ongoing,
40,92,244,2025-11-28,returned,2025-12-26
41,75,39,2026-03-21,returned,2026-03-30
42,70,127,2026-05-25,ongoing,
43,87,234,2025-11-25,returned,2026-01-09
44,102,95,2026-03-10,ongoing,
45,49,71,2026-02-19,returned,2026-08-19
46,75,241,2026-04-01,returned,2026-04-02
47,56,107,2025-09-29,returned,2026-06-09
48,29,19,2026-05-17,ongoing,
49,78,1,2025-11-14,ongoing,
50,82,84,2026-08-15,returned,2026-08-16
51,48,165,2025-12-11,returned,2026-04-06
52,1,38,2026-08-07,returned,2026-08-22
53,121,22,2025-10-10,ongoing,
54,1,194,2025-11-15,ongoing,
55,102,157,2025-10-08,ongoing,
56,63,75,2026-04-18,returned,2026-06-28
57,72,140,2025-10-11,ongoing,
58,28,33,2026-07-15,returned,2026-08-07
59,9,180,2026-01-22,returned,2026-02-26
60,113,33,2026-04-11,returned,2026-06-20
61,23,27,2026-03-28,returned,2026-08-02
62,68,163,2025-10-17,returned,2026-04-28
63,45,111,2026-04-27,ongoing,
64,33,160,2026-01-26,returned,2026-04-28
65,18,91,2025-09-14,returned,2026-07-07
66,106,19,2025-12-26,ongoing,
67,51,168,2025-08-31,returned,2025-12-07
68,65,240,2026-05-14,returned,2026-07-30
69,40,140,2026-01-18,returned,2026-05-12
70,81,80,2026-04-15,ongoing,
71,89,124,2026-03-02,returned,2026-06-14
72,96,36,2026-01-09,returned,2026-03-25
73,42,98,2026-01-30,ongoing,
74,115,15,2025-10-12,ongoing,
75,48,22,2026-04-10,ongoing,
76,41,148,2025-10-08,returned,2026-08-03
77,100,192,2026-03-18,ongoing,
78,98,159,2026-07-04,ongoing,
79,115,139,2026-07-16,returned,2026-08-22
80,108,174,2026-07-22,returned,2026-08-05
81,115,123,2026-05-30,ongoing,
82,79,121,2026-03-25,returned,2026-05-17
83,32,172,2026-04-10,returned,2026-06-22
84,94,247,2026-08-21,ongoing,
85,40,136,2026-02-19,ongoing,
86,108,215,2026-07-09,ongoing,
87,28,251,2025-11-19,returned,2026-08-23
88,65,111,2026-02-06,ongoing,
89,93,215,2025-12-31,returned,2026-04-19
90,94,67,2025-11-11,ongoing,
91,75,213,2026-02-19,returned,2026-06-09
92,12,155,2026-07-10,returned,2026-08-15
93,47,91,2025-10-01,returned,2026-07-12
94,53,139,2025-11-26,returned,2026-01-17
95,117,93,2026-05-06,ongoing,
96,105,247,2025-12-31,returned,2026-05-24
97,75,196,2026-04-06,ongoing,
98,27,161,2026-05-13,ongoing,
99,84,164,2025-10-02,ongoing,
100,34,71,2025-11-24,returned,2026-02-09
101,36,58,2026-01-04,ongoing,
102,52,78,2025-12-03,returned,2026-04-25
103,54,157,2025-10-20,returned,2025-11-22
104,52,199,2025-10-13,ongoing,
105,8,166,2026-01-18,returned,2026-05-28
106,117,227,2026-05-02,returned,2026-06-07
