id,license_plate,brand,model,year,status
1,QOP732,Saab,900,1989,rent ineligible
2,IJB243,BMW,525,2001,rent ineligible
3,ECE539,Dodge,Caliber,2011,rental ongoing
4,ULT048,Jeep,Wrangler,1995,rental ongoing
5,SEC480,Chevrolet,Camaro,2012,rental ongoing
6,TAW787,Mazda,Protege,1992,rent ineligible
7,FAO755,Chrysler,PT Cruiser,2003,rental ongoing
8,MSM669,Ford,Econoline E350,1999,rent ineligible
9,HUW602,Mitsubishi,RVR,1994,rent ineligible
10,RCC192,Infiniti,I,2001,rental ongoing
11,PUB593,Land Rover,Defender 90,1997,rent ineligible
12,IAL342,Volvo,S60,2008,rent ineligible
13,ACB578,Chevrolet,S10,2000,rental ongoing
14,IYK747,BMW,X5,2008,rental ongoing
15,AVN000,Dodge,Ram 3500,1999,rent ineligible
16,IFE562,Audi,riolet,1995,rental ongoing
17,GZF868,Chevrolet,Corsica,1995,rent ineligible
18,BUP302,Audi,Q7,2010,rental ongoing
19,TKY510,Chevrolet,Astro,1995,rent ineligible
20,WWO040,GMC,Jimmy,2001,rental ongoing
21,CWQ653,Mazda,Millenia,2001,rental ongoing
22,MBO817,Jeep,Commander,2007,rental ongoing
23,VVV056,Toyota,Land Cruiser,2016,rental ongoing
24,DDV542,Volkswagen,Jetta,2023,rental ongoing
25,EME857,Ford,Explorer,2014,rent ineligible
26,LBG418,Kia,Forte,2024,rental ongoing
27,IAO721,Ford,F-150,2019,rental ongoing
28,HWW187,Toyota,Camry,2012,rental ongoing
29,ONW551,BMW,3 Series,2022,rental ongoing
30,VAR606,BMW,X3,2014,rental ongoing
31,EZZ429,Subaru,Outback,2019,rental ongoing
32,VWX417,Ford,F-150,2026,rent ineligible
33,QXJ553,Hyundai,Tucson,2010,rental ongoing
34,AHK967,Mercedes-Benz,E-Class,2020,rental ongoing
35,FCQ414,BMW,X7,2015,rental ongoing
36,NME756,Nissan,Versa,2013,rental ongoing
37,VSY918,Chevrolet,Tahoe,2019,rental ongoing
